kind,id,file,heading,source_id,source_label,auteur,titre,source_year,nature,status,priority,type_unite,source_short_title,annee,dossier_source,fichier_source_original,pages_pdf_exemplaire,statut,titre_article,titre_ouvrage,direction,serie,lieu_edition,editeur,pagination,pages_pdf,fiabilite,fichier_source_recommande,chapitres,chapitres_secondaires,niveau_preuve,citation_directe,date_pdf,partie,note,volume_contenant,isbn,artiste,titre_album,date_sortie_album,label,catalogue,producteurs,source_drive,titre_revue,volume_numero,doi,concepts,auteurs_direction,auteur_alias,note_auteur,date,institution,command_paper,collection,usage,source_url,titre_chapitre,titre_section,publication_connue,pagination_article,collection_ou_imprint,fichier_source,note_s29,auteur_principal,lieu_publication,annee_publication,isbn_paperback,isbn_hardback,isbn_cloth,editeurs,edition,titre_ouvrage_recense,auteur_ouvrage_recense,annee_ouvrage_recense,revue,volume,dossier,date_publication,url,reference_complete,source_origin,arbitrage,prudence,legacy_id,croisements_corpus,distinction_critique,imprint
source,S70,sources/suatoni/source.md,Métadonnées,S70,"S70 — Suatoni, Joy Division, s.d.",Alfredo Suatoni,Joy Division,s.d.,,,,source,"Suatoni, Joy Division, s.d.",,,,,a_consolider,,,,,,,,,moyenne,,"[""Chapitre 2"", ""Chapitre 3"", ""Chapitre 5"", ""Chapitre 6"", ""Chapitre 7"", ""Chapitre 8"", ""Chapitre 9"", ""Chapitre 10"", ""Chapitre 11"", ""Chapitre 14""]",,,False,,,,,,,,,,,,,,,,"[""joy division"", ""chronologie"", ""discographie"", ""esthétique sonore"", ""culte""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S54,sources/gnocchi_interzona_burroughs_ballard/source.md,"S54 — Source canonique — Gnocchi, « Interzona. Burroughs e Ballard nei testi di Ian Curtis », 2021",S54,"S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",Alessandro Gnocchi,Interzona. Burroughs e Ballard nei testi di Ian Curtis,2021,,,,source,"Gnocchi, Interzona, 2021",2021,sources/gnocchi_interzona_burroughs_ballard/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 170-180,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S08,sources/internationale_situationniste_2_psychogeographie_derive/source.md,"S08 — Source canonique — *Internationale situationniste*, n° 2, 1958",S08,"S08 — Internationale situationniste, n° 2, psychogéographie et dérive, 1958",Internationale situationniste ; Abdelhafid Khatib ; Guy Debord,"Internationale situationniste, n° 2 : Essai de description psychogéographique des Halles ; Théorie de la dérive",1958,,,,source,"Internationale situationniste, n° 2, 1958",1958,sources/internationale_situationniste_2_psychogeographie_derive/,internationale_situationniste_2.pdf,20 pages ; passages utiles p. 13-20 de l’exemplaire PDF,source canonique refixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S81,sources/devereux_cullen_meagher_curtis_suicide/source.md,"Source S81 — Devereux, Cullen & Meagher, « Revisiting Ian Curtis's Suicide », 2018",,"S81 — Devereux, Cullen & Meagher, Revisiting Ian Curtis's Suicide, 2018","Eoin Devereux, Walter Cullen, David Meagher",This Is the Crisis I Knew Had to Come: Revisiting Ian Curtis's Suicide,2018,chapitre d'ouvrage collectif,,,,"Eoin Devereux, Walter Cullen, David Meagher, This Is the Crisis I Knew Had to Come: Revisiting Ian Curtis's Suicide, 2018",2018,sources/devereux_cullen_meagher_curtis_suicide/,,,atomisee,This Is the Crisis I Knew Had to Come: Revisiting Ian Curtis's Suicide,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 115–130,,haute — note : contient une analyse clinique et des outils d'évaluation psychiatrique,,,,,,2021-01-15,PART 3: Joy Division and Mental Health,"Contient deux tableaux : 'A Psychological Autopsy of Ian Curtis's Suicide' (table 8.1, p. 121) et 'SADPERSONS Scale as Scored for Ian Curtis' (table 8.2, p. 126).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S31,sources/allegri_living_in_the_ice_age/source.md,"S31 — Source canonique — Allegri, « Living in the Ice Age », 2021",S31,"S31 — Allegri, Living in the Ice Age, 2021",Giuseppe Allegri,Living in the Ice Age. Joy Division: un’impresa comune tra post-situazionismo e isolazionismo,2021,,,,source,"Allegri, Living in the Ice Age, 2021",2021,sources/allegri_living_in_the_ice_age/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 220-234 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S43,sources/capozzi_weight_on_their_shoulders/source.md,"S43 — Source canonique — Capozzi, « The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers », 2021",S43,"S43 — Capozzi, The weight on their shoulders, 2021",Eugenio Capozzi,The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers,2021,,,,source,"Capozzi, The weight on their shoulders, 2021",2021,sources/capozzi_weight_on_their_shoulders/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 64-75,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S55,sources/romania_a_guide_to_come_universo_simbolico/source.md,"S55 — Source canonique — Romania, « A guide to come: i Joy Division come universo simbolico », 2021",S55,"S55 — Romania, A guide to come: i Joy Division come universo simbolico, 2021",Vincenzo Romania,A guide to come: i Joy Division come universo simbolico. Una ricerca sulle recensioni musicali,2021,,,,source,"Romania, A guide to come, 2021",2021,sources/romania_a_guide_to_come_universo_simbolico/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 181-189 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S87,sources/otter_bickerdike_posteconomy_curtis/source.md,"Source S87 — Otter Bickerdike, « As If It Never Happened: The Posteconomy of Joy Division and Ian Curtis », 2018",,"S87 — Otter Bickerdike, Posteconomy of Joy Division and Ian Curtis, 2018",Jennifer Otter Bickerdike,As If It Never Happened: The Posteconomy of Joy Division and Ian Curtis,2018,chapitre d'ouvrage collectif,,,,"Jennifer Otter Bickerdike, As If It Never Happened: The Posteconomy of Joy Division and Ian Curtis, 2018",2018,sources/otter_bickerdike_posteconomy_curtis/,,,atomisee,As If It Never Happened: The Posteconomy of Joy Division and Ian Curtis,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 229–242,,a_evaluer,,,,,,2021-01-15,PART 5: Cultural Legacies,,,,,,,,,,,,,,,,,"Jennifer Otter Bickerdike a publié 'You Are Beautiful and You Are Alone: The Biography of Nico' (Faber, 2021) — spécialiste des artistes mort·e·s jeunes et de leur économie symbolique posthume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S16,sources/songfacts_buzzcocks_boredom/source.md,"S16 — Source canonique — Songfacts, « Boredom by Buzzcocks »",S16,"S16 — Songfacts, Boredom by Buzzcocks, page consultée 2026",Songfacts,Boredom by Buzzcocks,s.d. / page consultée 2026,,,,source,"Songfacts, Boredom by Buzzcocks",s.d. / page consultée 2026,sources/songfacts_buzzcocks_boredom/,,,source canonique refixée ; source web secondaire/tertiaire ; informations à vérifier dans les sources discographiques et critiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.songfacts.com/facts/buzzcocks/boredom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S22,sources/wilkinson_city_fun_politics/source.md,"S22 — Wilkinson, « Pam ponders Paul Morley’s cat », 2018",S22,"S22 — Wilkinson, City Fun and the politics of post-punk, 2018",David Wilkinson,‘Pam ponders Paul Morley’s cat’: City Fun and the politics of post-punk,2018,article universitaire / étude des médias alternatifs post-punk,,,,"Wilkinson, City Fun and the politics of post-punk, 2018",2018,sources/wilkinson_city_fun_politics/,David Wilkinson - ‘Pam ponders Paul Morley’s cat’_ City Fun and the politics of post-punk.pdf,,verifie ; source canonique fixée,,,,,,,,1-20,forte,S22_wilkinson_city_fun_politics_post_punk_2018.pdf,"[""Chapitre 1"", ""Chapitre 2"", ""Chapitre 3""]","[""Chapitre 7"", ""Chapitre 8"", ""Chapitre 9"", ""Chapitre 14""]",source secondaire universitaire,False,,,,,,,,,,,,,,,,,,,,,,,,,,‘Pam ponders Paul Morley’s cat’: City Fun and the politics of post-punk,Communiqués and Sellotape: constructing cultures II,"Punk & Post-Punk, vol. 7, n° 3",p. 317-339 dans Punk & Post-Punk ; p. 91-109 dans l’extrait PDF fourni,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S50,sources/bertetti_morreale_reimmaginare_immaginario/source.md,"S50 — Source canonique — Bertetti & Morreale, « Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica », 2021",S50,"S50 — Bertetti & Morreale, Reimmaginare l’immaginario, 2021",Paolo Bertetti ; Domenico Morreale,Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica,2021,,,,source,"Bertetti & Morreale, Reimmaginare l’immaginario, 2021",2021,sources/bertetti_morreale_reimmaginare_immaginario/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 114-133,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S21,sources/mdmarchive_city_fun_hidden_history/source.md,"S21 — Source canonique — Manchester Digital Music Archive, « City Fun: The Hidden History of Manchester's Favourite Fanzine »",S21,"S21 — MDMArchive, City Fun: The Hidden History of Manchester's Favourite Fanzine, page consultée 2026",Manchester Digital Music Archive,City Fun: The Hidden History of Manchester's Favourite Fanzine,s.d. / page consultée 2026,,,,source,"MDMArchive, City Fun: The Hidden History, page consultée 2026",s.d. / page consultée 2026,sources/mdmarchive_city_fun_hidden_history/,,,source canonique refixée ; exposition web / archive numérique ; contenu à vérifier par captures et notices d’items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mdmarchive.co.uk/exhibition/city-fun:-the-hidden-history-of-manchester's-favourite-fanzine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S35,sources/morris_record_play_pause/source.md,"S35 — Source canonique — Morris, *Record Play Pause*, 2019",S35,"S35 — Morris, Record Play Pause, 2019",Stephen Morris,"Record Play Pause: Confessions of a Post-Punk Percussionist, Volume I",2019,,,,source,"Morris, Record Play Pause, 2019",2019,sources/morris_record_play_pause/,Stephen Morris - Record Play Pause - Confessions of a Post-Punk Percussionist.pdf,,source canonique fixée,,,,,London,Constable,,,,,,,,,,,,,978-1-47212-619-1,,,,,,,,,,,,,,,,,,,,,,,,,"Constable, an imprint of Little, Brown Book Group",,,,,,,,,,,,,,,,,,,,,,,,,,
source,S39,sources/bauman_liquid_modernity/source.md,"S39 — Bauman, *Liquid Modernity*, 2000",S39,"S39 — Bauman, Liquid Modernity, 2000",Zygmunt Bauman,Liquid Modernity,2000,ouvrage théorique / sociologie de la modernité,,,,"Bauman, Liquid Modernity, 2000",2000,sources/bauman_liquid_modernity/,bauman-liquid-modernity.pdf,,verifie ; source canonique fixée ; fichier Drive identifié,,,,,Cambridge,Polity Press,,,forte comme cadre théorique ; non spécialisée sur Joy Division,,"[""Chapitre 1"", ""Chapitre 11"", ""Chapitre 14""]","[""Chapitre 3"", ""Chapitre 7"", ""Chapitre 13""]",source secondaire théorique / sociologie de la modernité,False,,,,,,,,,,,,https://drive.google.com/file/d/1hrtrNh8RCZXUmjeHTv5d2NkzucmxvwpU/view?usp=drive_link,,,,,,,,,,,,,,,,,,,S39_bauman_liquid_modernity_2000.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
source,S52,sources/rabbito_control_infrangimento_vetro/source.md,"S52 — Source canonique — Rabbito, « Control e l’infrangimento del vetro. Oltre la superficie biografica di Ian Curtis », 2021",S52,"S52 — Rabbito, Control e l’infrangimento del vetro, 2021",Andrea Rabbito,Control e l’infrangimento del vetro. Oltre la superficie biografica di Ian Curtis,2021,,,,source,"Rabbito, Control e l’infrangimento del vetro, 2021",2021,sources/rabbito_control_infrangimento_vetro/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 146-157,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S62,sources/heart_soul_introduction/source.md,"Source S62 — Power, Dillane, Devereux, « This Is the Way, Step Inside: Understanding Joy Division », 2018",,"S62 — Power, Dillane, Devereux, Introduction Heart and Soul, 2018","Martin J. Power, Aileen Dillane, Eoin Devereux","This Is the Way, Step Inside: Understanding Joy Division",2018,introduction d'ouvrage collectif,,,,"Martin J. Power, Aileen Dillane, Eoin Devereux, This Is the Way, Step Inside: Understanding Joy Division, 2018",2018,sources/heart_soul_introduction/,,,atomisee,"This Is the Way, Step Inside: Understanding Joy Division",Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane","Popular Musics Matter: Social, Political and Cultural Interventions",,Rowman & Littlefield International,p. xvii–xxx,,forte comme cadrage analytique ; à distinguer des chapitres individuels,,,,,,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le chapitre 1 de ce volume (Goddard) est déjà S29. Les autres chapitres sont S63–S88.,,,,,,,,,,,,,,,,,,,,,,,,
source,S37,sources/morley_piece_by_piece/source.md,"S37 — Source canonique — Morley, *Joy Division: Piece by Piece*, 2008",S37,"S37 — Morley, Joy Division: Piece by Piece, 2008",Paul Morley,Joy Division: Piece by Piece: Writing About Joy Division 1977–2007,2008,,,,source,"Morley, Joy Division: Piece by Piece, 2008",2008,sources/morley_piece_by_piece/,Paul Morley - Joy_Division Piece by Piece.pdf,,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S84,sources/cope_moving_image_factory_video/source.md,"Source S84 — Cope, « Nothing Here Now but the Recordings: The Moving Image Record of Joy Division and the Factory Video Unit », 2018",,"S84 — Cope, Moving Image Record of Joy Division and Factory Video Unit, 2018",Nick Cope,Nothing Here Now but the Recordings: The Moving Image Record of Joy Division and the Factory Video Unit,2018,chapitre d'ouvrage collectif,,,,"Nick Cope, Nothing Here Now but the Recordings: The Moving Image Record of Joy Division and the Factory Video Unit, 2018",2018,sources/cope_moving_image_factory_video/,,,atomisee,Nothing Here Now but the Recordings: The Moving Image Record of Joy Division and the Factory Video Unit,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 171–192,,a_evaluer,,,,,,2021-01-15,"PART 4: Interzone: Sounds, Images and Style","Contient un tableau récapitulatif des enregistrements visuels de Joy Division (table 11.1, p. 177).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S46-000,sources/johnson_morley_an_ideal_for_living/source.md,Référence source,S46,"S46 — Johnson, An Ideal for Living, 1984",Mark Johnson; Paul Morley; David Lees; Jon Wozencroft,An Ideal for Living: An History of Joy Division,1984,,,,source,"Mark Johnson ; David Lees ; Paul Morley ; Jon Wozencroft, An Ideal for Living: An History of Joy Division, 1984",,,,,verifie,,,,,,Proteus Books,,1-123,moyenne,,"[""Chapitre 2"", ""Chapitre 3"", ""Chapitre 5"", ""Chapitre 9"", ""Chapitre 14""]",,,False,,,,,,,,,,,,,,,,"[""histoire Joy Division"", ""Factory Records"", ""chronologie concerts"", ""discographie"", ""réception critique"", ""iconographie"", ""bootlegs""]",,,,,,,,,,,,,,,,,Mark Johnson,London; New York,1984,0 86272 165 4,0 86276 166 2,0 86276 247 2,,,,,,,,,,,,,,,,,,
source,S72,sources/reynolds_rip_it_up/source.md,Métadonnées,S72,"S72 — Reynolds, Rip It Up and Start Again, 2005/2006",Simon Reynolds,Rip It Up and Start Again: Postpunk 1978–1984,2005/2006,,,,source,"Reynolds, Rip It Up and Start Again, 2005/2006",,,,,atomisation_premiere_passe,,,,,,,,,forte,,"[""Chapitre 1"", ""Chapitre 2"", ""Chapitre 3"", ""Chapitre 5"", ""Chapitre 7"", ""Chapitre 8"", ""Chapitre 9"", ""Chapitre 10"", ""Chapitre 11"", ""Chapitre 14""]",,,False,,,,,,,,,,,,,,,,"[""post-punk"", ""joy division"", ""manchester"", ""factory records"", ""diy"", ""esthétique sonore""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S09,sources/cummins_joy_division_visual_corpus/source.md,"S09 — Cummins, *Joy Division*, 2010",S09,"S09 — Cummins, Joy Division, 2010",Kevin Cummins,Joy Division,2010,corpus photographique / source visuelle primaire et éditorialisée,,,,"Cummins, Joy Division, 2010",2010,sources/cummins_joy_division_visual_corpus/,Capture d'écran 2026-02-02 083040.png,,verifie ; source canonique fixée ; pagination et planche à verrouiller avant citation d’image,,,,,New York,Rizzoli,,,forte pour l’iconographie ; à croiser pour le contexte historique et les légendes,S09_cummins_joy_division_rizzoli_2010_reference.png,"[""Chapitre 1"", ""Chapitre 3"", ""Chapitre 7"", ""Chapitre 9""]","[""Chapitre 10"", ""Chapitre 14""]",source visuelle primaire éditorialisée ; témoignage photographique,False,,,,,,,,,,,,https://drive.google.com/file/d/1QIWlVb_B02FLFaUrH7I0fAMMl0-GXCMl/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S56,sources/barone_directionless_so_plain_to_see/source.md,"S56 — Source canonique — Barone, « Directionless so plain to see », 2021",S56,"S56 — Barone, Directionless so plain to see, 2021",Linda Barone,"Directionless so plain to see. (Di)Versioni stilistiche, letterarie e traduttive",2021,,,,source,"Barone, Directionless so plain to see, 2021",2021,sources/barone_directionless_so_plain_to_see/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 190-212 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S60,sources/federici_unknown_pleasures_pulsar_tshirt/source.md,"S60 — Source canonique — Federici, « Unknown Pleasures: Pulsar di una t-shirt iconica », 2021",S60,"S60 — Federici, Unknown Pleasures: Pulsar di una t-shirt iconica, 2021",Raffaele Federici,Unknown Pleasures: Pulsar di una t-shirt iconica,2021,,,,source,"Federici, Unknown Pleasures: Pulsar di una t-shirt iconica, 2021",2021,sources/federici_unknown_pleasures_pulsar_tshirt/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 280-286 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S44,sources/guarino_vomito_culturale_ideali_sottoculturali/source.md,"S44 — Source canonique — Guarino, « I Joy Division tra vomito culturale e ideali sottoculturali », 2021",S44,"S44 — Guarino, I Joy Division tra vomito culturale e ideali sottoculturali, 2021",Donato Guarino,I Joy Division tra vomito culturale e ideali sottoculturali,2021,,,,source,"Guarino, I Joy Division tra vomito culturale, 2021",2021,sources/guarino_vomito_culturale_ideali_sottoculturali/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 76-92,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S86,sources/breyley_iranian_musicians_jd/source.md,"Source S86 — Breyley, « Affinities with Joy Division among Contemporary Iranian Musicians », 2018",,"S86 — Breyley, Iranian Musicians and Joy Division, 2018",Gay Jennifer Breyley,'I Hung around in Your Soundtrack': Affinities with Joy Division among Contemporary Iranian Musicians,2018,chapitre d'ouvrage collectif,,,,"Gay Jennifer Breyley, 'I Hung around in Your Soundtrack': Affinities with Joy Division among Contemporary Iranian Musicians, 2018",2018,sources/breyley_iranian_musicians_jd/,,,atomisee,'I Hung around in Your Soundtrack': Affinities with Joy Division among Contemporary Iranian Musicians,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 209–228,,a_evaluer,,,,,,2021-01-15,PART 5: Cultural Legacies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S71,sources/flowers/source.md,Métadonnées,S71,"S71 — Flowers, Dreams Never End, 1995/2012",Claude Flowers,New Order + Joy Division: Dreams Never End,1995/2012,,,,source,"Flowers, Dreams Never End, 1995/2012",,,,,atomisation_premiere_passe,,,,,,,,,moyenne,,"[""Chapitre 1"", ""Chapitre 2"", ""Chapitre 3"", ""Chapitre 5"", ""Chapitre 6"", ""Chapitre 7"", ""Chapitre 8"", ""Chapitre 9"", ""Chapitre 10"", ""Chapitre 11"", ""Chapitre 14""]",,,False,,,,,,,,,,,,,,,,"[""joy division"", ""new order"", ""factory records"", ""manchester"", ""transition posthume""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S59,sources/ferrara_poetica_della_distanza/source.md,"S59 — Source canonique — Ferrara, « Joy Division: una poetica della distanza », 2021",S59,"S59 — Ferrara, Joy Division: una poetica della distanza, 2021",Francesca Ferrara,Joy Division: una poetica della distanza,2021,,,,source,"Ferrara, Joy Division: una poetica della distanza, 2021",2021,sources/ferrara_poetica_della_distanza/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 244-253 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S48,sources/desia_segno_grafica_visione/source.md,"S48 — Source canonique — De Sia, « Il segno, la grafica, la visione », 2021",S48,"S48 — De Sia, Il segno, la grafica, la visione, 2021",Alfredo De Sia,"Il segno, la grafica, la visione",2021,,,,source,"De Sia, Il segno, la grafica, la visione, 2021",2021,sources/desia_segno_grafica_visione/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 94-98,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S79,sources/curtis_savage_so_this_is_permanence/source.md,"S79 — Curtis, So This Is Permanence, 2014",S79,"S79 — Curtis, So This Is Permanence, 2014",Ian Curtis,So This Is Permanence,2014,ouvrage canonique pour le Songbook,,,,"Ian Curtis, So This Is Permanence: Joy Division Lyrics and Notebooks, 2014",2014,sources/curtis_savage_so_this_is_permanence/,,,source canonique,,,,,,,,,forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Deborah Curtis"", ""Jon Savage""]",Chronicle Books ; Faber & Faber,,,,,,,,,,,,,,,,
source,S17,sources/wikipedia_rowche_rumble/source.md,"S17 — Source canonique — Wikipedia, « Rowche Rumble »",S17,"S17 — Wikipedia, Rowche Rumble, page consultée 2026",Wikipedia contributors,Rowche Rumble,s.d. / page consultée 2026,,,,source,"Wikipedia, Rowche Rumble",s.d. / page consultée 2026,sources/wikipedia_rowche_rumble/,,,source canonique refixée ; source web tertiaire ; informations à vérifier dans les sources discographiques et critiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Rowche_Rumble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S27,sources/riom_review_crossley_networks/source.md,"S27 — Riom, compte rendu de Crossley, *Networks of Sound, Style and Subversion*, 2016",S27,"S27 — Riom, compte rendu de Crossley, Networks of Sound, Style and Subversion, 2016",Loïc Riom,"Nick CROSSLEY, Networks of Sound, Style and Subversion: The Punk and Post-punk Worlds of Manchester, London and Sheffield, 1975-1980",2016,compte rendu universitaire / note de lecture,,,,"Riom, compte rendu de Crossley, 2016",2016,sources/riom_review_crossley_networks/,volume-4795.pdf,,verifie ; source canonique fixée ; distingue compte rendu et ouvrage recensé,,,,,,Association Mélanie Seteun,223-225,,forte pour la lecture critique de Riom ; à ne pas confondre avec le livre de Crossley,S27_riom_review_crossley_networks_volume_2016.pdf,"[""Chapitre 1"", ""Chapitre 2""]","[""Chapitre 3"", ""Chapitre 8"", ""Chapitre 14""]",source secondaire critique ; compte rendu d’ouvrage,False,,,,,,,,,,,,https://drive.google.com/file/d/1BXAdvigoOoX4xAtsxDM6Ge9ySc5wNlzZ/view?usp=drive_link,,,10.4000/volume.4795,,,,,,,,,,,,,,,,,,,,,,,,,,"Networks of Sound, Style and Subversion: The Punk and Post-punk Worlds of Manchester, London, Liverpool and Sheffield, 1975-1980",Nick Crossley,2015,Volume ! La revue des musiques populaires,12:2,Special Beatles studies,2016-03-22,https://journals.openedition.org/volume/4795,,,,,,,,
source,S82,sources/parmar_space_estrangement/source.md,"Source S82 — Parmar, « Joy Division in Space: The Aesthetics of Estrangement », 2018",,"S82 — Parmar, Joy Division in Space / Aesthetics of Estrangement, 2018",Robin Parmar,Joy Division in Space: The Aesthetics of Estrangement,2018,chapitre d'ouvrage collectif,,,,"Robin Parmar, Joy Division in Space: The Aesthetics of Estrangement, 2018",2018,sources/parmar_space_estrangement/,,,atomisee,Joy Division in Space: The Aesthetics of Estrangement,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 133–154,,haute,,,,,,2021-01-15,"PART 4: Interzone: Sounds, Images and Style",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
